-10	-9.66215e-23	1.28051e-25	-8.18242e-21
-9.999	-9.71556e-23	1.29341e-25	-8.2365e-21
-9.998	-9.76891e-23	1.30643e-25	-8.29085e-21
-9.997	-9.82217e-23	1.31959e-25	-8.34546e-21
-9.996	-9.87535e-23	1.33287e-25	-8.40034e-21
-9.995	-9.92844e-23	1.34628e-25	-8.45549e-21
-9.994	-9.98143e-23	1.35981e-25	-8.51091e-21
-9.993	-1.00343e-22	1.37349e-25	-8.56659e-21
-9.992	-1.00871e-22	1.38729e-25	-8.62255e-21
-9.991	-1.01397e-22	1.40123e-25	-8.67877e-21
-9.99	-1.01922e-22	1.4153e-25	-8.73527e-21
-9.989	-1.02446e-22	1.42951e-25	-8.79204e-21
-9.988	-1.02968e-22	1.44386e-25	-8.84908e-21
-9.987	-1.03488e-22	1.45834e-25	-8.90639e-21
-9.986	-1.04007e-22	1.47297e-25	-8.96397e-21
-9.985	-1.04524e-22	1.48774e-25	-9.02183e-21
-9.984	-1.05039e-22	1.50265e-25	-9.07996e-21
-9.983	-1.05552e-22	1.5177e-25	-9.13837e-21
-9.982	-1.06063e-22	1.53291e-25	-9.19706e-21
-9.981	-1.06572e-22	1.54825e-25	-9.25602e-21
-9.98	-1.07078e-22	1.56375e-25	-9.31525e-21
-9.979	-1.07583e-22	1.5794e-25	-9.37476e-21
-9.978	-1.08084e-22	1.5952e-25	-9.43456e-21
-9.977	-1.08583e-22	1.61115e-25	-9.49462e-21
-9.976	-1.09079e-22	1.62725e-25	-9.55497e-21
-9.975	-1.09573e-22	1.64351e-25	-9.6156e-21
-9.974	-1.10063e-22	1.65993e-25	-9.67651e-21
-9.973	-1.10551e-22	1.67651e-25	-9.73769e-21
-9.972	-1.11035e-22	1.69324e-25	-9.79916e-21
-9.971	-1.11516e-22	1.71014e-25	-9.86091e-21
-9.97	-1.11993e-22	1.7272e-25	-9.92294e-21
-9.969	-1.12467e-22	1.74443e-25	-9.98525e-21
-9.968	-1.12938e-22	1.76182e-25	-1.00479e-20
-9.967	-1.13404e-22	1.77938e-25	-1.01107e-20
-9.966	-1.13867e-22	1.7971e-25	-1.01739e-20
-9.965	-1.14325e-22	1.815e-25	-1.02373e-20
-9.964	-1.14779e-22	1.83307e-25	-1.03011e-20
-9.963	-1.15229e-22	1.85132e-25	-1.03651e-20
-9.962	-1.15675e-22	1.86974e-25	-1.04294e-20
-9.961	-1.16116e-22	1.88834e-25	-1.0494e-20
-9.96	-1.16552e-22	1.90711e-25	-1.05588e-20
-9.959	-1.16983e-22	1.92607e-25	-1.0624e-20
-9.958	-1.17409e-22	1.94521e-25	-1.06895e-20
-9.957	-1.1783e-22	1.96453e-25	-1.07552e-20
-9.956	-1.18246e-22	1.98404e-25	-1.08212e-20
-9.955	-1.18656e-22	2.00374e-25	-1.08875e-20
-9.954	-1.1906e-22	2.02363e-25	-1.09541e-20
-9.953	-1.19459e-22	2.0437e-25	-1.1021e-20
-9.952	-1.19851e-22	2.06397e-25	-1.10882e-20
-9.951	-1.20238e-22	2.08443e-25	-1.11557e-20
-9.95	-1.20618e-22	2.10509e-25	-1.12234e-20
-9.949	-1.20991e-22	2.12595e-25	-1.12915e-20
-9.948	-1.21358e-22	2.14701e-25	-1.13598e-20
-9.947	-1.21718e-22	2.16827e-25	-1.14284e-20
-9.946	-1.22071e-22	2.18973e-25	-1.14973e-20
-9.945	-1.22417e-22	2.2114e-25	-1.15665e-20
-9.944	-1.22756e-22	2.23328e-25	-1.16361e-20
-9.943	-1.23087e-22	2.25536e-25	-1.17058e-20
-9.942	-1.2341e-22	2.27766e-25	-1.17759e-20
-9.941	-1.23725e-22	2.30017e-25	-1.18463e-20
-9.94	-1.24032e-22	2.32289e-25	-1.1917e-20
-9.939	-1.24331e-22	2.34583e-25	-1.19879e-20
-9.938	-1.24621e-22	2.369e-25	-1.20592e-20
-9.937	-1.24902e-22	2.39238e-25	-1.21307e-20
-9.936	-1.25175e-22	2.41598e-25	-1.22026e-20
-9.935	-1.25438e-22	2.43982e-25	-1.22747e-20
-9.934	-1.25692e-22	2.46388e-25	-1.23472e-20
-9.933	-1.25937e-22	2.48816e-25	-1.24199e-20
-9.932	-1.26171e-22	2.51268e-25	-1.24929e-20
-9.931	-1.26396e-22	2.53744e-25	-1.25662e-20
-9.93	-1.2661e-22	2.56243e-25	-1.26398e-20
-9.929	-1.26814e-22	2.58766e-25	-1.27137e-20
-9.928	-1.27007e-22	2.61313e-25	-1.27879e-20
-9.927	-1.27189e-22	2.63884e-25	-1.28624e-20
-9.926	-1.2736e-22	2.66479e-25	-1.29372e-20
-9.925	-1.27519e-22	2.691e-25	-1.30122e-20
-9.924	-1.27667e-22	2.71745e-25	-1.30876e-20
-9.923	-1.27803e-22	2.74416e-25	-1.31633e-20
-9.922	-1.27927e-22	2.77111e-25	-1.32392e-20
-9.921	-1.28038e-22	2.79833e-25	-1.33155e-20
-9.92	-1.28137e-22	2.8258e-25	-1.3392e-20
-9.919	-1.28222e-22	2.85354e-25	-1.34689e-20
-9.918	-1.28295e-22	2.88154e-25	-1.3546e-20
-9.917	-1.28354e-22	2.9098e-25	-1.36234e-20
-9.916	-1.28399e-22	2.93833e-25	-1.37012e-20
-9.915	-1.2843e-22	2.96714e-25	-1.37792e-20
-9.914	-1.28447e-22	2.99622e-25	-1.38575e-20
-9.913	-1.28449e-22	3.02557e-25	-1.39361e-20
-9.912	-1.28436e-22	3.0552e-25	-1.4015e-20
-9.911	-1.28408e-22	3.08511e-25	-1.40942e-20
